bangumiTitle	aliasJp	aliasSearch
GJ部	GJ部	GJ部中等部
失忆症	AMNESIA	アムネシア,健忘症,AMNESIA,精靈情緣,(AMNESIA),失忆症,BrainsBase
闪乱神乐	閃乱カグラ	閃亂神樂
直白标题机器人动画		直球表题ロボットアニメ,直白标题,直白標題機器人動畫
AKB0048 第一季	AKB0048	
AKB0048 第二季	AKB0048 next stage	
我的妹妹是大阪大妈	僕の妹は「大阪おかん」	我的妹妹是大阪大妈
漫画少女	まんがーる!	まんがーる！,漫画少女
石田和朝仓	石田とあさくら	石田与朝仓,石田とあさくら
初音岛	D.C. 〜ダ・カーポ〜	D.C,D.C.～ダ・カーポ～,初音岛
初音岛 第二季	D.C.S.S. 〜ダ・カーポ セカンドシーズン〜	D.C,D.C.～ダ・カーポ～,初音岛第二季
初音岛II	D.C.II 〜ダ・カーポII〜	D.C,D.C.～ダ・カーポ～,初音岛II
初音岛III	D.C.III ～ダ・カーポIII～	D.C.III～ダ・カーポIII～,初音岛III
十万个冷笑话 第一季		
十万个冷笑话 第二季		
尸兄		我叫白小飞
山海师		
神魄		ZINBA
馒头日记		
撸时代		
死灵编码		
少年泰坦出击		
复仇者集结		
鸭子的生活	ぢべたぐらし あひるの生活	ぢべたぐらし あひるの生活,鸭子生活
高中也疯狂		
宫河家的空腹	宮河家の空腹	宫河家的空腹,宮河家の空腹
笨蛋的悲剧人生	バカ・ミゼラブル	笨蛋的悲剧人生,脱力
小公主苏菲亚 第一季		
小公主苏菲亚 第二季		
独眼巨人少女斋枫	サイクロプス少女さいぷ〜	独眼巨人少女斋枫,サイクロプス少女さいぷ〜
平成警察		へ〜せいポリスメン!!
地狱幼稚园		
K	K	K,K 第一季,K 动画
加速世界	アクセル・ワールド	アクセル・ワールド
樱花庄的宠物女孩	さくら荘のペットな彼女	樱花庄园的宠物女孩,さくら荘のペットな彼女,樱花庄的宠物女友
邻座的怪同学	となりの怪物くん	邻座,brainsbase
创圣的大天使	創聖のアクエリオン	AQUARIONEVOL;EVOL
创圣的大天使EVOL	アクエリオンEVOL	创圣的大天使EVOL
这个是僵尸吗？	これはゾンビですか?	这货是僵尸吗,这个是僵尸吗？ ,これはゾンビですか?,魔装少女就是本少爷
这个是僵尸吗？OF THE DEAD	これはゾンビですか? オブ・ザ・デッド	这货是僵尸吗,这个是僵尸吗？ OF THE DEAD,これはゾンビですか? ,魔装少女就是本少爷
人类衰退之后	人類は衰退しました	人类衰退之后,人類は衰退しました
爱杀宝贝 国语版	キルミーベイベー	KILL ME BABY,BABY PLEASE KILL ME
爱杀宝贝 日语版	キルミーベイベー	KILL ME BABY,BABY PLEASE KILL ME
散华礼弥	さんかれあ	散华礼弥,さんかれあ,僵尸哪有那么萌？
恋爱随意链接	ココロコネクト	恋爱随意链接,ココロコネクト,心连情结,心与心的连结
要听爸爸的话！	パパのいうことを聞きなさい！	パパのいうことを聞きなさい!,听爸爸的话
迷之彼女X	謎の彼女X	谜样女友X,迷之女友,谜之女友,谜之女友X,迷之女友X
就算是哥哥有爱就没问题了对吧	お兄ちゃんだけど愛さえあれば関係ないよねっ	兄爱,我与亲爱哥哥的日常
三人行必有我妹	この中に1人、妹がいる!	三人行必有我妹,この中に1人、妹がいる!,NAKAIMO,其中一个是妹妹
猫物语（黑）	猫物語（黒）	猫物语,猫物语 黑,猫物語 黒
食梦者	バクマン。	バクマン,BAKUMAN,爆漫王
食梦者。2	バクマン。2	バクマン,BAKUMAN
食梦者。3	バクマン。3	バクマン,BAKUMAN,食梦者
向阳素描 第一季		炎阳素描,ひだまりスゲッチ
向阳素描 第二季		ひだまりスケッチ×365
向阳素描 第三季		炎阳素描,ひだまりスゲッチ
向阳素描 第四季		ひだまりスケッチ×ハニカム
只要你说你爱我	好きっていいなよ。	好きっていいなよ,只要你说你爱我
CØDE:BREAKER 法外制裁者	CØDE:BREAKER	CODE:BREAKER,法外制裁者
武装神姬 Moon Angel	武装神姫 MOON ANGEL	武装神姫 MOON ANGEL,武装神姬MK2
武装神姬	武装神姫	武装神姫 MOON ANGEL,武装神姬MK2
绯色的欠片 第一季	緋色の欠片	緋色の欠片,绯色的碎片
绯色的欠片 第二季	緋色の欠片 第二章	緋色の欠片,绯色的碎片
超速变形GYRO ZETTER		超速変形ジャイロゼッター
兽旋战斗MONSUNO		
